1540335496308,35.35,30.45,4.90,4.88
1540335496509,35.37,30.51,4.86,4.88
1540335496705,35.37,30.47,4.90,4.89
1540335496906,35.35,30.47,4.88,4.88
1540335497103,35.39,30.45,4.94,4.89
1540335497308,35.31,30.47,4.84,4.89
1540335497509,35.35,30.45,4.90,4.89
1540335497705,35.37,30.45,4.92,4.89
1540335497906,35.37,30.43,4.94,4.89
1540335498102,35.35,30.43,4.92,4.89
1540335498303,35.39,30.43,4.96,4.89
1540335498508,35.35,30.37,4.98,4.89
1540335498705,35.35,30.37,4.98,4.89
1540335498904,35.37,30.37,5.00,4.89
1540335499106,35.37,30.39,4.98,4.90
1540335499302,35.37,30.45,4.92,4.89
1540335499506,35.31,30.43,4.88,4.90
1540335499703,35.39,30.39,5.00,4.90
1540335499904,35.37,30.45,4.92,4.90
1540335500105,35.35,30.39,4.96,4.91
1540335500302,35.31,30.45,4.86,4.90
1540335500507,35.35,30.43,4.92,4.91
1540335500703,35.35,30.45,4.90,4.91
1540335500903,35.35,30.45,4.90,4.91
1540335501105,35.35,30.51,4.84,4.91
1540335501301,35.37,30.45,4.92,4.91
1540335501506,35.35,30.45,4.90,4.91
1540335501707,35.31,30.45,4.86,4.91
1540335501903,35.35,30.45,4.90,4.91
1540335502104,35.37,30.47,4.90,4.91
1540335502301,35.39,30.43,4.96,4.91
1540335502501,35.39,30.43,4.96,4.91
1540335502706,35.43,30.39,5.04,4.91
1540335502903,35.37,30.43,4.94,4.91
1540335503103,35.35,30.45,4.90,4.92
1540335503300,35.43,30.43,5.00,4.91
1540335503501,35.37,30.43,4.94,4.92
1540335503706,35.37,30.45,4.92,4.92
1540335503901,35.39,30.37,5.02,4.92
1540335504103,35.35,30.43,4.92,4.92
1540335504304,35.37,30.51,4.86,4.92
1540335504500,35.37,30.45,4.92,4.92
1540335504705,35.37,30.43,4.94,4.92
1540335504902,35.35,30.39,4.96,4.92
1540335505102,35.39,30.45,4.94,4.93
1540335505303,35.35,30.45,4.90,4.92
1540335505499,35.37,30.45,4.92,4.93
1540335505704,35.37,30.39,4.98,4.93
1540335505905,35.37,30.39,4.98,4.92
1540335506102,35.31,30.39,4.92,4.93
1540335506302,35.37,30.39,4.98,4.93
1540335506499,35.35,30.33,5.02,4.93
1540335506699,35.35,30.33,5.02,4.93
1540335506905,35.37,30.31,5.06,4.93
1540335507101,35.35,30.33,5.02,4.94
