1539763164812,34.61,35.27,-0.66,-0.80
1539763165008,34.55,35.19,-0.64,-0.80
1539763165209,34.55,35.21,-0.66,-0.79
1539763165410,34.59,35.23,-0.64,-0.78
1539763165610,34.61,35.29,-0.68,-0.77
1539763165807,34.69,35.27,-0.58,-0.77
1539763166008,34.77,35.37,-0.60,-0.76
1539763166213,34.71,35.37,-0.66,-0.75
1539763166410,34.59,35.31,-0.72,-0.75
1539763166610,34.55,35.35,-0.80,-0.74
1539763166806,34.53,35.27,-0.74,-0.74
1539763167012,34.55,35.27,-0.72,-0.73
1539763167208,34.75,35.31,-0.56,-0.73
1539763167409,34.83,35.31,-0.48,-0.73
1539763167609,34.89,35.35,-0.46,-0.72
1539763167806,34.85,35.43,-0.58,-0.72
1539763168011,34.81,35.43,-0.62,-0.72
1539763168207,34.81,35.43,-0.62,-0.71
1539763168408,34.71,35.47,-0.76,-0.71
1539763168605,34.67,35.45,-0.78,-0.70
1539763168810,34.71,35.43,-0.72,-0.70
1539763169006,34.77,35.37,-0.60,-0.70
1539763169207,34.81,35.37,-0.56,-0.69
1539763169411,34.81,35.35,-0.54,-0.69
1539763169608,34.89,35.31,-0.42,-0.69
1539763169809,34.81,35.29,-0.48,-0.69
1539763170005,34.91,35.29,-0.38,-0.68
1539763170206,34.85,35.27,-0.42,-0.68
1539763170406,34.85,35.23,-0.38,-0.67
1539763170607,34.89,35.27,-0.38,-0.67
1539763170804,34.85,35.27,-0.42,-0.66
1539763171005,34.83,35.23,-0.40,-0.65
1539763171209,34.81,35.27,-0.46,-0.65
1539763171406,34.81,35.29,-0.48,-0.64
1539763171607,34.89,35.45,-0.56,-0.63
1539763171803,34.89,35.47,-0.58,-0.63
1539763172008,34.89,35.55,-0.66,-0.62
1539763172205,34.89,35.69,-0.80,-0.62
1539763172406,34.83,35.63,-0.80,-0.61
1539763172610,34.83,35.55,-0.72,-0.61
1539763172806,34.77,35.53,-0.76,-0.61
1539763173008,34.81,35.47,-0.66,-0.61
1539763173204,34.83,35.53,-0.70,-0.61
1539763173405,34.93,35.51,-0.58,-0.61
1539763173601,34.93,35.53,-0.60,-0.61
1539763173806,34.99,35.53,-0.54,-0.61
1539763174003,34.91,35.53,-0.62,-0.61
1539763174204,34.85,35.53,-0.68,-0.61
1539763174409,34.83,35.59,-0.76,-0.61
1539763174605,34.85,35.63,-0.78,-0.61
1539763174806,34.85,35.63,-0.78,-0.61
1539763175003,34.93,35.69,-0.76,-0.61
1539763175207,34.93,35.67,-0.74,-0.61
1539763175404,35.07,35.59,-0.52,-0.61
1539763175604,34.99,35.63,-0.64,-0.61
1539763175805,35.07,35.53,-0.46,-0.62
1539763176002,35.05,35.53,-0.48,-0.62
1539763176207,35.01,35.47,-0.46,-0.62
1539763176403,34.93,35.47,-0.54,-0.62
1539763176604,34.93,35.45,-0.52,-0.62
1539763176800,34.85,35.39,-0.54,-0.62
1539763177005,34.85,35.45,-0.60,-0.62
1539763177206,34.85,35.43,-0.58,-0.61
1539763177403,34.91,35.43,-0.52,-0.61
1539763177603,34.97,35.45,-0.48,-0.61
1539763177803,34.91,35.43,-0.52,-0.61
1539763178004,34.91,35.43,-0.52,-0.61
1539763178201,34.93,35.39,-0.46,-0.61
1539763178402,34.99,35.39,-0.40,-0.60
1539763178606,34.93,35.47,-0.54,-0.60
1539763178803,34.97,35.39,-0.42,-0.60
1539763179004,34.97,35.43,-0.46,-0.59
1539763179201,34.93,35.39,-0.46,-0.59
1539763179405,34.85,35.37,-0.52,-0.59
1539763179602,34.93,35.37,-0.44,-0.58
1539763179803,34.85,35.45,-0.60,-0.58
1539763179999,34.85,35.43,-0.58,-0.58
1539763180204,34.81,35.43,-0.62,-0.58
1539763180405,34.71,35.43,-0.72,-0.57
1539763180601,34.59,35.37,-0.78,-0.57
1539763180806,34.55,35.35,-0.80,-0.57
1539763181003,34.59,35.35,-0.76,-0.57
1539763181204,34.71,35.31,-0.60,-0.57
1539763181400,34.71,35.39,-0.68,-0.57
1539763181601,34.77,35.39,-0.62,-0.57
1539763181805,34.77,35.35,-0.58,-0.57
1539763182002,34.81,35.35,-0.54,-0.58
1539763182203,34.83,35.39,-0.56,-0.58
1539763182400,34.75,35.43,-0.68,-0.58
1539763182604,34.75,35.43,-0.68,-0.58
1539763182800,34.71,35.39,-0.68,-0.58
1539763183001,34.71,35.39,-0.68,-0.58
1539763183202,34.71,35.37,-0.66,-0.58
1539763183399,34.75,35.35,-0.60,-0.58
