1540166785317,34.53,33.41,1.12,0.96
1540166785514,34.53,33.47,1.06,0.97
1540166785714,34.53,33.49,1.04,0.97
1540166785911,34.51,33.49,1.02,0.97
1540166786112,34.51,33.49,1.02,0.98
1540166786316,34.51,33.57,0.94,0.98
1540166786512,34.47,33.47,1.00,0.98
1540166786714,34.53,33.51,1.02,0.98
1540166786910,34.51,33.49,1.02,0.99
1540166787115,34.51,33.47,1.04,0.99
1540166787312,34.53,33.51,1.02,0.99
1540166787512,34.51,33.49,1.02,0.99
1540166787713,34.51,33.41,1.10,0.99
1540166787910,34.53,33.43,1.10,0.99
1540166788114,34.47,33.41,1.06,1.00
1540166788311,34.51,33.43,1.08,1.00
1540166788512,34.53,33.41,1.12,1.00
1540166788708,34.53,33.41,1.12,1.00
1540166788913,34.53,33.47,1.06,1.00
1540166789110,34.53,33.41,1.12,1.01
1540166789311,34.53,33.43,1.10,1.01
1540166789515,34.45,33.43,1.02,1.01
1540166789711,34.53,33.47,1.06,1.01
1540166789912,34.53,33.49,1.04,1.02
1540166790109,34.53,33.41,1.12,1.02
1540166790310,34.53,33.51,1.02,1.02
1540166790506,34.51,33.47,1.04,1.02
1540166790711,34.47,33.49,0.98,1.02
1540166790911,34.47,33.47,1.00,1.02
1540166791109,34.51,33.43,1.08,1.02
1540166791313,34.51,33.41,1.10,1.03
1540166791510,34.47,33.41,1.06,1.03
1540166791710,34.53,33.43,1.10,1.03
1540166791907,34.55,33.43,1.12,1.03
1540166792112,34.55,33.41,1.14,1.03
1540166792309,34.55,33.41,1.14,1.03
1540166792509,34.55,33.49,1.06,1.04
1540166792710,34.53,33.43,1.10,1.04
1540166792907,34.51,33.41,1.10,1.04
1540166793111,34.51,33.49,1.02,1.04
1540166793308,34.51,33.47,1.04,1.04
1540166793509,34.47,33.43,1.04,1.05
1540166793705,34.47,33.41,1.06,1.05
1540166793910,34.53,33.41,1.12,1.05
1540166794110,34.51,33.39,1.12,1.05
1540166794307,34.51,33.41,1.10,1.05
1540166794512,34.47,33.33,1.14,1.05
1540166794710,34.53,33.35,1.18,1.05
1540166794909,34.51,33.41,1.10,1.05
1540166795106,34.51,33.41,1.10,1.06
1540166795307,34.55,33.33,1.22,1.06
1540166795512,34.53,33.33,1.20,1.06
1540166795708,34.59,33.39,1.20,1.06
1540166795909,34.51,33.41,1.10,1.06
1540166796106,34.53,33.47,1.06,1.07
1540166796306,34.51,33.35,1.16,1.07
1540166796511,34.51,33.47,1.04,1.07
1540166796708,34.53,33.41,1.12,1.07
1540166796908,34.53,33.41,1.12,1.08
1540166797105,34.53,33.39,1.14,1.08
