1539674355445,35.05,37.77,-2.72,-2.64
1539674355646,35.05,37.79,-2.74,-2.65
1539674355842,35.07,37.83,-2.76,-2.65
1539674356047,35.09,37.79,-2.70,-2.65
1539674356248,35.19,37.75,-2.56,-2.66
1539674356444,35.29,37.71,-2.42,-2.66
1539674356645,35.29,37.75,-2.46,-2.66
1539674356846,35.31,37.83,-2.52,-2.66
1539674357042,35.23,37.75,-2.52,-2.66
1539674357247,35.19,37.71,-2.52,-2.66
1539674357458,35.21,37.75,-2.54,-2.66
1539674357644,35.27,37.83,-2.56,-2.65
1539674357845,35.27,37.85,-2.58,-2.65
1539674358041,35.23,37.71,-2.48,-2.65
1539674358246,35.15,37.75,-2.60,-2.65
1539674358442,35.13,37.71,-2.58,-2.65
1539674358643,35.23,37.85,-2.62,-2.65
1539674358844,35.23,37.71,-2.48,-2.65
1539674359041,35.31,37.85,-2.54,-2.64
1539674359246,35.27,37.83,-2.56,-2.64
1539674359463,35.21,37.79,-2.58,-2.64
1539674359643,35.19,37.77,-2.58,-2.64
1539674359844,35.19,37.79,-2.60,-2.64
1539674360040,35.23,37.77,-2.54,-2.63
1539674360241,35.31,37.77,-2.46,-2.63
1539674360446,35.27,37.75,-2.48,-2.63
1539674360643,35.23,37.79,-2.56,-2.62
1539674360843,35.21,37.85,-2.64,-2.62
1539674361044,35.13,37.77,-2.64,-2.62
1539674361246,35.13,37.83,-2.70,-2.62
1539674361445,35.19,37.83,-2.64,-2.62
1539674361641,35.07,37.79,-2.72,-2.62
1539674361843,35.07,37.77,-2.70,-2.62
1539674362043,35.07,37.83,-2.76,-2.62
1539674362239,35.15,37.77,-2.62,-2.62
1539674362444,35.19,37.85,-2.66,-2.62
1539674362641,35.31,37.71,-2.40,-2.62
1539674362842,35.31,37.83,-2.52,-2.62
1539674363043,35.39,37.75,-2.36,-2.62
1539674363239,35.31,37.83,-2.52,-2.62
1539674363444,35.27,37.75,-2.48,-2.61
1539674363640,35.19,37.83,-2.64,-2.61
1539674363841,35.13,37.71,-2.58,-2.61
1539674364041,35.09,37.77,-2.68,-2.61
1539674364238,35.07,37.83,-2.76,-2.61
1539674364443,35.05,37.79,-2.74,-2.61
