1539762654599,315,-1.32,0.04
1539762736610,34.97,35.83,-0.86,-1.19
1539762736807,35.07,35.75,-0.68,-1.17
1539762737008,34.99,35.75,-0.76,-1.16
1539762737203,35.05,35.75,-0.70,-1.15
1539762737408,35.07,35.63,-0.56,-1.14
1539762737606,35.07,35.75,-0.68,-1.12
1539762737805,35.09,35.61,-0.52,-1.11
1539762738002,35.13,35.61,-0.48,-1.09
1539762738208,35.07,35.63,-0.56,-1.08
1539762738408,34.97,35.61,-0.64,-1.06
1539762738605,34.97,35.59,-0.62,-1.05
1539762738810,34.97,35.53,-0.56,-1.03
1539762739007,34.93,35.61,-0.68,-1.02
1539762739207,34.93,35.61,-0.68,-1.00
1539762739404,34.93,35.63,-0.70,-0.99
1539762739604,34.97,35.59,-0.62,-0.97
1539762739809,34.99,35.59,-0.60,-0.96
1539762740006,34.97,35.55,-0.58,-0.95
1539762740206,34.89,35.63,-0.74,-0.93
1539762740403,34.81,35.61,-0.80,-0.92
1539762740608,34.75,35.59,-0.84,-0.91
1539762740804,34.81,35.63,-0.82,-0.90
1539762741005,34.85,35.63,-0.78,-0.89
1539762741202,34.91,35.59,-0.68,-0.88
1539762741407,34.99,35.59,-0.60,-0.87
1539762741607,34.97,35.55,-0.58,-0.86
1539762741803,35.01,35.59,-0.58,-0.85
1539762742004,35.07,35.61,-0.54,-0.85
1539762742201,35.13,35.61,-0.48,-0.84
1539762742406,35.13,35.63,-0.50,-0.83
1539762742602,35.09,35.61,-0.52,-0.82
1539762742803,34.99,35.61,-0.62,-0.81
1539762743008,35.01,35.63,-0.62,-0.80
1539762743204,34.99,35.61,-0.62,-0.79
1539762743405,34.99,35.59,-0.60,-0.78
1539762743601,34.97,35.63,-0.66,-0.78
1539762743802,34.99,35.61,-0.62,-0.77
1539762744004,35.01,35.63,-0.62,-0.76
1539762744204,35.01,35.67,-0.66,-0.75
1539762744404,35.01,35.63,-0.62,-0.75
1539762744601,34.99,35.63,-0.64,-0.74
1539762744806,34.89,35.55,-0.66,-0.73
1539762745003,34.91,35.61,-0.70,-0.73
1539762745203,34.81,35.61,-0.80,-0.73
1539762745400,34.77,35.61,-0.84,-0.72
1539762745605,34.83,35.59,-0.76,-0.72
1539762745806,34.85,35.59,-0.74,-0.72
1539762746002,34.93,35.63,-0.70,-0.71
1539762746203,34.97,35.67,-0.70,-0.71
1539762746403,35.07,35.81,-0.74,-0.71
1539762746603,35.07,35.77,-0.70,-0.71
1539762746801,35.09,35.77,-0.68,-0.71
1539762747001,35.19,35.77,-0.58,-0.71
1539762747197,35.19,35.75,-0.56,-0.70
1539762747403,35.21,35.75,-0.54,-0.70
1539762747603,35.21,35.75,-0.54,-0.70
1539762747800,35.19,35.75,-0.56,-0.70
1539762748004,35.13,35.63,-0.50,-0.69
1539762748202,35.09,35.67,-0.58,-0.69
