1540346899131,38.35,28.05,10.30,10.49
1540346899331,38.29,28.11,10.18,10.48
1540346899528,38.35,28.05,10.30,10.48
1540346899733,38.35,27.99,10.36,10.46
1540346899930,38.29,28.01,10.28,10.46
1540346900131,38.35,28.01,10.34,10.46
1540346900327,38.35,27.93,10.42,10.44
1540346900532,38.37,27.91,10.46,10.45
1540346900733,38.33,27.95,10.38,10.43
1540346900929,38.35,27.95,10.40,10.43
1540346901134,38.35,27.95,10.40,10.43
1540346901330,38.35,27.95,10.40,10.42
1540346901531,38.35,27.99,10.36,10.43
1540346901727,38.35,27.93,10.42,10.41
1540346901933,38.29,27.93,10.36,10.42
1540346902129,38.35,27.93,10.42,10.41
1540346902330,38.35,27.91,10.44,10.41
1540346902526,38.33,27.81,10.52,10.41
1540346902730,38.33,27.79,10.54,10.40
1540346902928,38.35,27.81,10.54,10.41
1540346903128,38.29,27.81,10.48,10.41
1540346903325,38.35,27.81,10.54,10.40
1540346903538,38.35,27.87,10.48,10.42
1540346903727,38.35,27.91,10.44,10.41
1540346903927,38.35,27.91,10.44,10.41
1540346904124,38.37,27.91,10.46,10.42
1540346904329,38.35,27.93,10.42,10.41
1540346904525,38.41,27.95,10.46,10.42
1540346904726,38.37,27.99,10.38,10.41
1540346904931,38.35,28.05,10.30,10.42
1540346905128,38.41,28.11,10.30,10.42
1540346905328,38.43,28.17,10.26,10.41
1540346905525,38.81,28.23,10.58,10.42
1540346905729,40.01,28.19,11.82,10.41
1540346905926,40.37,28.19,12.18,10.43
1540346906127,40.53,28.07,12.46,10.44
1540346906323,40.55,27.93,12.62,10.45
1540346906528,40.29,27.95,12.34,10.48
1540346906725,39.85,27.95,11.90,10.50
1540346906925,39.85,27.95,11.90,10.54
1540346907122,39.71,28.01,11.70,10.57
1540346907329,39.63,27.95,11.68,10.60
1540346907523,39.47,28.01,11.46,10.65
1540346907725,39.39,27.95,11.44,10.67
1540346907929,39.29,27.99,11.30,10.71
1540346908125,39.21,28.01,11.20,10.74
1540346908326,39.15,27.93,11.22,10.77
1540346908522,39.11,27.93,11.18,10.80
1540346908728,39.03,27.87,11.16,10.82
1540346908924,39.01,27.87,11.14,10.85
1540346909125,38.93,27.91,11.02,10.87
1540346909321,38.85,28.01,10.84,10.89
1540346909526,38.87,27.95,10.92,10.91
1540346909723,38.79,27.99,10.80,10.92
1540346909924,38.77,27.87,10.90,10.94
1540346910120,38.75,27.87,10.88,10.95
1540346910325,38.71,27.91,10.80,10.95
1540346910525,38.69,27.87,10.82,10.97
1540346910723,38.69,27.81,10.88,10.97
1540346910923,38.63,27.93,10.70,10.98
1540346911124,38.61,27.87,10.74,10.98
1540346911324,38.55,27.87,10.68,10.98
1540346911521,38.59,27.93,10.66,10.99
1540346911722,38.55,27.91,10.64,10.98
1540346911922,38.51,27.87,10.64,10.98
1540346912123,38.51,27.87,10.64,10.98
1540346912320,38.45,27.87,10.58,10.97
1540346912521,38.45,27.93,10.52,10.97
1540346912720,38.49,27.99,10.50,10.96
1540346912922,38.41,28.01,10.40,10.95
1540346913118,38.41,28.01,10.40,10.95
1540346913318,38.37,28.05,10.32,10.93
1540346913523,38.37,28.05,10.32,10.93
1540346913720,38.35,28.05,10.30,10.91
1540346913921,38.33,27.99,10.34,10.90
1540346914117,38.33,27.95,10.38,10.89
1540346914323,38.35,27.93,10.42,10.87
1540346914565,38.37,27.95,10.42,10.86
1540346914720,38.37,28.01,10.36,10.84
1540346914916,38.35,28.13,10.22,10.83
1540346915120,38.37,28.17,10.20,10.82
