1540344115494,38.17,32.25,5.92,5.67
1540344115691,38.17,32.33,5.84,5.67
1540344115895,38.17,32.31,5.86,5.68
1540344116092,38.13,32.33,5.80,5.68
1540344116293,38.13,32.33,5.80,5.68
1540344116497,38.05,32.27,5.78,5.69
1540344116694,38.19,32.39,5.80,5.69
1540344116895,38.11,32.33,5.78,5.70
1540344117092,38.19,32.31,5.88,5.70
1540344117292,38.13,32.33,5.80,5.70
1540344117489,38.11,32.31,5.80,5.71
1540344117693,38.17,32.33,5.84,5.71
1540344117895,38.09,32.33,5.76,5.71
1540344118091,38.09,32.39,5.70,5.72
1540344118292,38.11,32.35,5.76,5.72
1540344118492,38.13,32.47,5.66,5.73
1540344118693,38.05,32.53,5.52,5.72
1540344118894,38.13,32.47,5.66,5.73
1540344119090,38.17,32.35,5.82,5.73
1540344119295,38.11,32.31,5.80,5.73
1540344119492,38.11,32.33,5.78,5.73
1540344119692,38.03,32.35,5.68,5.73
1540344119889,38.11,32.39,5.72,5.73
1540344120094,38.05,32.35,5.70,5.73
1540344120287,38.09,32.45,5.64,5.73
1540344120491,38.11,32.49,5.62,5.74
1540344120691,38.05,32.61,5.44,5.73
1540344120888,38.09,32.63,5.46,5.73
1540344121093,38.11,32.63,5.48,5.73
1540344121290,38.11,32.69,5.42,5.72
1540344121490,38.05,32.69,5.36,5.73
1540344121687,38.09,32.75,5.34,5.72
1540344121887,38.09,32.85,5.24,5.71
1540344122093,38.11,32.91,5.20,5.71
1540344122289,38.05,32.91,5.14,5.70
1540344122490,38.05,32.89,5.16,5.69
1540344122686,38.05,32.99,5.06,5.68
1540344122892,38.05,32.99,5.06,5.67
1540344123088,38.05,32.99,5.06,5.66
1540344123288,38.03,32.83,5.20,5.64
1540344123489,38.01,32.81,5.20,5.63
1540344123685,38.03,32.83,5.20,5.61
1540344123891,38.03,32.89,5.14,5.60
1540344124087,38.09,32.85,5.24,5.59
1540344124288,38.09,32.71,5.38,5.57
1540344124484,38.01,32.69,5.32,5.56
1540344124689,38.09,32.63,5.46,5.55
1540344124890,38.03,32.55,5.48,5.54
1540344125087,38.01,32.47,5.54,5.53
1540344125287,38.05,32.49,5.56,5.51
1540344125484,38.05,32.55,5.50,5.51
1540344125688,38.01,32.69,5.32,5.50
1540344125886,38.03,32.69,5.34,5.50
1540344126086,38.03,32.77,5.26,5.49
1540344126290,38.03,32.85,5.18,5.48
1540344126487,38.01,32.77,5.24,5.48
1540344126688,38.03,32.85,5.18,5.47
1540344126885,38.03,32.81,5.22,5.46
1540344127085,38.03,32.75,5.28,5.45
1540344127282,38.01,32.81,5.20,5.44
