1539818546365,34.85,35.23,-0.38,-0.56
1539818546569,34.89,35.67,-0.78,-0.51
1539818546772,34.85,35.75,-0.90,-0.47
1539818546959,34.91,35.93,-1.02,-0.44
1539818547162,34.91,36.01,-1.10,-0.41
1539818547365,34.89,36.15,-1.26,-0.39
1539818547569,34.93,36.25,-1.32,-0.38
1539818547756,34.89,36.29,-1.40,-0.37
1539818547959,34.89,36.33,-1.44,-0.36
1539818548162,34.83,36.39,-1.56,-0.36
1539818548365,34.83,36.45,-1.62,-0.37
1539818548569,34.89,36.53,-1.64,-0.38
1539818548756,34.91,36.49,-1.58,-0.39
1539818548959,34.85,36.53,-1.68,-0.41
1539818549163,34.89,36.55,-1.66,-0.43
1539818549366,34.85,36.49,-1.64,-0.46
1539818549569,34.89,36.49,-1.60,-0.48
1539818549757,34.85,36.49,-1.64,-0.51
1539818549960,34.85,36.39,-1.54,-0.54
1539818550163,34.89,36.47,-1.58,-0.57
1539818550366,34.89,36.41,-1.52,-0.60
1539818550553,34.91,36.31,-1.40,-0.63
1539818550757,34.89,36.29,-1.40,-0.66
1539818550960,34.91,36.31,-1.40,-0.69
1539818551163,34.91,36.29,-1.38,-0.71
1539818551366,34.85,36.25,-1.40,-0.74
1539818551553,34.89,36.25,-1.36,-0.77
1539818551757,34.89,36.29,-1.40,-0.80
1539818551960,34.89,36.25,-1.36,-0.82
1539818552163,34.93,36.25,-1.32,-0.85
1539818552350,34.91,36.23,-1.32,-0.87
1539818552553,34.91,36.29,-1.38,-0.89
1539818552757,34.91,36.23,-1.32,-0.91
1539818552960,34.93,36.23,-1.30,-0.94
1539818553163,34.97,36.23,-1.26,-0.95
1539818553350,34.91,36.17,-1.26,-0.97
1539818553554,34.93,36.21,-1.28,-0.99
1539818553757,34.97,36.23,-1.26,-1.01
1539818553960,35.05,36.21,-1.16,-1.02
1539818554163,34.93,36.17,-1.24,-1.04
1539818554350,34.93,36.21,-1.28,-1.05
1539818554554,34.97,36.23,-1.26,-1.06
1539818554757,35.05,36.21,-1.16,-1.07
1539818554960,34.93,36.15,-1.22,-1.08
1539818555163,34.97,36.17,-1.20,-1.09
1539818555351,35.09,36.17,-1.08,-1.10
1539818555554,35.09,36.15,-1.06,-1.11
1539818555757,35.13,36.15,-1.02,-1.12
1539818555960,35.13,36.17,-1.04,-1.12
1539818556163,35.19,36.15,-0.96,-1.13
1539818556351,35.15,36.13,-0.98,-1.13
1539818556554,35.09,36.13,-1.04,-1.13
1539818556757,35.07,36.13,-1.06,-1.13
1539818556960,35.15,36.07,-0.92,-1.13
1539818557163,35.09,36.07,-0.98,-1.13
1539818557351,35.07,36.09,-1.02,-1.13
1539818557554,35.15,36.09,-0.94,-1.13
1539818557757,35.09,36.07,-0.98,-1.13
1539818557960,35.15,36.13,-0.98,-1.13
1539818558148,35.09,36.07,-0.98,-1.12
1539818558351,35.09,36.13,-1.04,-1.12
1539818558554,35.09,36.13,-1.04,-1.12
1539818558757,35.21,36.13,-0.92,-1.12
1539818558960,35.19,36.13,-0.94,-1.11
1539818559148,35.19,36.21,-1.02,-1.11
1539818559351,35.21,36.13,-0.92,-1.11
1539818559554,35.13,36.13,-1.00,-1.10
1539818559757,35.09,36.13,-1.04,-1.10
1539818559945,35.15,36.09,-0.94,-1.10
1539818560148,35.13,36.09,-0.96,-1.09
1539818560351,35.07,36.05,-0.98,-1.09
1539818560554,35.09,36.09,-1.00,-1.09
1539818560757,34.99,36.01,-1.02,-1.08
1539818560960,35.01,35.99,-0.98,-1.08
1539818561148,34.99,35.99,-1.00,-1.08
1539818561351,35.01,36.05,-1.04,-1.08
1539818561554,35.05,36.01,-0.96,-1.07
1539818561757,35.13,35.97,-0.84,-1.07
1539818561945,34.99,35.93,-0.94,-1.07
1539818562148,34.97,35.99,-1.02,-1.06
1539818562351,35.01,35.99,-0.98,-1.06
1539818562554,35.09,35.89,-0.80,-1.06
1539818562757,35.05,35.97,-0.92,-1.05
1539818562945,35.01,35.89,-0.88,-1.05
1539818563148,34.99,35.91,-0.92,-1.05
1539818563351,35.01,36.01,-1.00,-1.04
1539818563554,35.05,35.97,-0.92,-1.04
1539818563742,35.05,35.97,-0.92,-1.03
1539818563945,35.07,35.97,-0.90,-1.03
1539818564148,35.05,35.99,-0.94,-1.03
1539818564351,35.09,35.89,-0.80,-1.02
1539818564554,35.09,35.91,-0.82,-1.02
1539818564742,35.13,35.85,-0.72,-1.01
1539818564945,35.13,35.85,-0.72,-1.01
1539818565148,35.05,35.85,-0.80,-1.01
1539818565351,35.07,35.89,-0.82,-1.00
1539818565554,35.01,35.89,-0.88,-0.99
1539818565742,35.05,35.85,-0.80,-0.99
1539818565945,34.99,35.89,-0.90,-0.98
1539818566148,35.05,35.91,-0.86,-0.98
1539818566351,34.99,35.97,-0.98,-0.97
1539818566554,35.05,35.91,-0.86,-0.97
1539818566742,35.07,35.99,-0.92,-0.97
1539818566945,35.01,35.97,-0.96,-0.96
1539818567148,35.05,35.93,-0.88,-0.96
1539818567351,35.05,35.91,-0.86,-0.95
1539818567539,35.05,35.97,-0.92,-0.95
1539818567742,34.99,35.97,-0.98,-0.95
1539818567945,34.99,35.91,-0.92,-0.95
1539818568148,34.91,35.91,-1.00,-0.94
1539818568351,34.93,35.93,-1.00,-0.94
1539818568539,34.91,35.85,-0.94,-0.94
1539818568742,34.97,35.97,-1.00,-0.94
1539818568945,34.89,35.99,-1.10,-0.94
1539818569148,34.97,35.97,-1.00,-0.94
1539818569352,34.93,35.93,-1.00,-0.94
1539818569539,34.97,35.97,-1.00,-0.94
1539818569742,34.99,35.97,-0.98,-0.94
1539818569945,34.97,35.89,-0.92,-0.94
1539818570149,34.99,35.97,-0.98,-0.94
1539818570336,34.97,35.91,-0.94,-0.94
1539818570539,34.99,35.83,-0.84,-0.94
1539818570742,34.99,35.91,-0.92,-0.94
1539818570945,34.99,35.83,-0.84,-0.94
1539818571149,34.97,35.89,-0.92,-0.94
1539818571336,34.91,35.91,-1.00,-0.94
1539818571539,34.93,35.91,-0.98,-0.94
1539818571742,34.91,35.93,-1.02,-0.94
1539818571946,34.83,36.07,-1.24,-0.94
1539818572149,34.77,36.01,-1.24,-0.94
1539818572352,34.77,36.01,-1.24,-0.95
1539818572539,34.67,36.09,-1.42,-0.95
1539818572742,34.71,36.07,-1.36,-0.95
1539818572946,34.71,36.05,-1.34,-0.96
1539818573149,34.75,36.09,-1.34,-0.97
1539818573336,34.75,36.05,-1.30,-0.97
1539818573539,34.71,36.01,-1.30,-0.98
1539818573743,34.71,36.01,-1.30,-0.99
1539818573946,34.69,35.99,-1.30,-1.00
1539818574149,34.69,35.99,-1.30,-1.01
1539818574336,34.71,35.99,-1.28,-1.02
1539818574539,34.77,36.07,-1.30,-1.03
1539818574743,34.81,35.97,-1.16,-1.03
1539818574946,34.89,36.01,-1.12,-1.04
1539818575133,34.91,36.01,-1.10,-1.05
1539818575336,34.93,36.05,-1.12,-1.06
1539818575539,34.99,36.09,-1.10,-1.06
1539818575743,34.97,36.05,-1.08,-1.07
1539818575946,34.97,36.07,-1.10,-1.08
1539818576133,34.97,36.05,-1.08,-1.08
1539818576336,34.85,36.07,-1.22,-1.08
1539818576539,34.93,35.97,-1.04,-1.09
1539818576743,34.91,35.97,-1.06,-1.09
1539818576930,34.91,35.99,-1.08,-1.09
1539818577133,34.89,35.93,-1.04,-1.10
1539818577336,34.89,35.97,-1.08,-1.10
1539818577539,34.83,35.99,-1.16,-1.10
1539818577743,34.91,35.99,-1.08,-1.10
1539818577930,34.91,35.97,-1.06,-1.10
1539818578149,34.93,35.99,-1.06,-1.10
1539818578336,34.85,35.93,-1.08,-1.10
1539818578539,34.89,35.91,-1.02,-1.10
1539818578743,34.89,35.93,-1.04,-1.10
1539818578946,34.91,35.93,-1.02,-1.10
1539818579133,34.91,35.85,-0.94,-1.10
1539818579336,34.85,35.85,-1.00,-1.10
1539818579540,34.91,35.93,-1.02,-1.10
1539818579743,34.83,35.89,-1.06,-1.10
1539818579930,34.81,35.93,-1.12,-1.10
1539818580133,34.81,35.99,-1.18,-1.09
1539818580336,34.89,35.93,-1.04,-1.09
1539818580539,34.97,35.93,-0.96,-1.09
1539818580743,34.97,35.93,-0.96,-1.09
1539818580930,34.97,35.93,-0.96,-1.09
1539818581134,34.91,35.89,-0.98,-1.08
1539818581337,34.91,35.89,-0.98,-1.08
1539818581540,34.93,35.89,-0.96,-1.08
1539818581727,34.97,35.89,-0.92,-1.08
1539818581946,34.97,35.85,-0.88,-1.07
1539818582134,34.93,35.85,-0.92,-1.07
1539818582337,34.91,35.81,-0.90,-1.06
1539818582540,34.91,35.83,-0.92,-1.06
1539818582743,34.89,35.83,-0.94,-1.06
1539818582931,34.93,35.81,-0.88,-1.05
1539818583141,34.93,35.83,-0.90,-1.05
1539818583329,34.91,35.77,-0.86,-1.04
1539818583532,34.85,35.81,-0.96,-1.04
1539818583735,34.97,35.81,-0.84,-1.03
1539818583938,34.93,35.81,-0.88,-1.03
1539818584141,34.91,35.81,-0.90,-1.03
1539818584329,34.91,35.83,-0.92,-1.02
1539818584532,34.93,35.81,-0.88,-1.02
1539818584735,34.91,35.77,-0.86,-1.01
1539818584938,34.89,35.83,-0.94,-1.01
1539818585126,34.85,35.77,-0.92,-1.01
1539818585329,34.81,35.83,-1.02,-1.00
1539818585532,34.85,35.83,-0.98,-1.00
1539818585735,34.81,35.81,-1.00,-0.99
1539818585938,34.83,35.85,-1.02,-0.99
1539818586126,34.83,35.83,-1.00,-0.99
1539818586329,34.83,35.83,-1.00,-0.99
1539818586532,34.75,35.81,-1.06,-0.99
1539818586735,34.81,35.81,-1.00,-0.98
1539818586938,34.77,35.81,-1.04,-0.98
1539818587126,34.85,35.77,-0.92,-0.98
1539818587329,34.91,35.75,-0.84,-0.98
1539818587532,34.83,35.81,-0.98,-0.98
1539818587736,34.83,35.75,-0.92,-0.98
1539818587939,34.81,35.75,-0.94,-0.98
1539818588126,34.77,35.81,-1.04,-0.97
1539818588329,34.83,35.81,-0.98,-0.97
1539818588532,34.85,35.75,-0.90,-0.97
1539818588736,34.85,35.77,-0.92,-0.97
1539818588923,34.83,35.77,-0.94,-0.97
1539818589126,34.89,35.71,-0.82,-0.97
1539818589329,34.91,35.69,-0.78,-0.96
1539818589532,34.85,35.81,-0.96,-0.96
1539818589736,34.85,35.71,-0.86,-0.96
1539818589923,34.91,35.75,-0.84,-0.96
1539818590126,34.89,35.75,-0.86,-0.96
1539818590329,34.81,35.69,-0.88,-0.95
1539818590533,34.83,35.77,-0.94,-0.95
1539818590736,34.83,35.83,-1.00,-0.95
1539818590923,34.85,35.81,-0.96,-0.95
1539818591126,34.85,35.81,-0.96,-0.94
1539818591330,34.85,35.77,-0.92,-0.94
1539818591533,34.85,35.77,-0.92,-0.94
1539818591720,34.89,35.77,-0.88,-0.94
1539818591923,34.85,35.77,-0.92,-0.94
1539818592127,34.83,35.75,-0.92,-0.94
1539818592330,34.85,35.77,-0.92,-0.94
1539818592533,34.89,35.77,-0.88,-0.94
1539818592736,34.89,35.77,-0.88,-0.93
1539818592924,34.83,35.75,-0.92,-0.93
